index_date;mining_sector_credit_operations_(R$_millions)
2012-01;18900
2012-02;19060
2012-03;20471
2012-04;20897
2012-05;21013
2012-06;21183
2012-07;21889
2012-08;22203
2012-09;24164
2012-10;26888
2012-11;25416
2012-12;26072
2013-01;25346
2013-02;25670
2013-03;25744
2013-04;26625
2013-05;27951
2013-06;27433
2013-07;27065
2013-08;27625
2013-09;27860
2013-10;27520
2013-11;28617
2013-12;31303
2014-01;31254
2014-02;31590
2014-03;31852
2014-04;31902
2014-05;31914
2014-06;31761
2014-07;31638
2014-08;31928
2014-09;32166
2014-10;34180
2014-11;33542
2014-12;34893
2015-01;37170
2015-02;37465
2015-03;38833
2015-04;37955
2015-05;38252
2015-06;38315
2015-07;38308
2015-08;38951
2015-09;39989
2015-10;39814
2015-11;40261
2015-12;42082
2016-01;42509
2016-02;42310
2016-03;41689
2016-04;41254
2016-05;40773
2016-06;38171
2016-07;38235
2016-08;38432
2016-09;35283
2016-10;32295
2016-11;30537
2016-12;31111
2017-01;30268
2017-02;30262
2017-03;30165
2017-04;29876
2017-05;28618
2017-06;28999
2017-07;28944
2017-08;28021
2017-09;28187
2017-10;28000
2017-11;27585
2017-12;22343
2018-01;20941
2018-02;20409
2018-03;20443
2018-04;19598
2018-05;19729
2018-06;19427
2018-07;18503
2018-08;18810
2018-09;18683
2018-10;18056
2018-11;18403
2018-12;17887
2019-01;18310
2019-02;21222
2019-03;22254
2019-04;21691
2019-05;21258
2019-06;17647
2019-07;16551
2019-08;16517
2019-09;16587
2019-10;16727
2019-11;17133
2019-12;15413
2020-01;15060
2020-02;14810
2020-03;15800
2020-04;15277
2020-05;15536
2020-06;15909
2020-07;14799
2020-08;15235
2020-09;15392
2020-10;15587
2020-11;15761
2020-12;16795
2021-01;16383
2021-02;15595
2021-03;15469
2021-04;15302
2021-05;15021
2021-06;16263
2021-07;16435
2021-08;16151
2021-09;16082
