index_date;mining_sector_credit_operations_(r$_millions)
2012-01-01;18292.750577659
2012-02-01;18628.3436354073
2012-03-01;19994.6893747605
2012-04-01;20482.1517807877
2012-05-01;20598.3358788478
2012-06-01;21360.6074921255
2012-07-01;22519.5883997903
2012-08-01;22985.0265631664
2012-09-01;24673.2450881106
2012-10-01;27067.1842170172
2012-11-01;25960.9393805073
2012-12-01;25633.8168095841
2013-01-01;24709.7479031116
2013-02-01;25213.8447561321
2013-03-01;25285.315918922
2013-04-01;26225.6480495804
2013-05-01;27542.1224561799
2013-06-01;27594.1283065075
2013-07-01;27661.350895445
2013-08-01;28379.051272599
2013-09-01;28328.7822190008
2013-10-01;27759.6561122425
2013-11-01;29197.0047526514
2013-12-01;30911.1180059437
2014-01-01;30637.148705275
2014-02-01;31087.6587730918
2014-03-01;31415.6141753639
2014-04-01;31507.9220667875
2014-05-01;31541.0018829138
2014-06-01;31867.2727943613
2014-07-01;32146.4570018848
2014-08-01;32604.3124198553
2014-09-01;32590.2763682945
2014-10-01;34484.1864863442
2014-11-01;34172.2454498712
2014-12-01;34587.5558698541
2015-01-01;36642.522562556
2015-02-01;36968.9742811836
2015-03-01;38379.5316764352
2015-04-01;37565.2497325097
2015-05-01;37932.0584269981
2015-06-01;38333.469714412
2015-07-01;38691.4472763238
2015-08-01;39519.9670579636
2015-09-01;40352.9712546543
2015-10-01;40146.412474655
2015-11-01;40907.682034874
2015-12-01;41930.8416915919
2016-01-01;42143.6137775234
2016-02-01;41845.6773149285
2016-03-01;41203.6112524141
2016-04-01;40860.3801290173
2016-05-01;40511.4982482178
2016-06-01;38081.3922330598
2016-07-01;38528.1745737857
2016-08-01;38884.8464900797
2016-09-01;35545.4035353634
2016-10-01;32646.4583765117
2016-11-01;31138.2454199369
2016-12-01;31069.148476943
2017-01-01;30108.2952033062
2017-02-01;29927.5896227495
2017-03-01;29632.2815849687
2017-04-01;29510.4258484218
2017-05-01;28394.9815495654
2017-06-01;28796.0049260169
2017-07-01;29190.1057452697
2017-08-01;28376.5842784423
2017-09-01;28346.9791364403
2017-10-01;28310.7102238504
2017-11-01;28065.436720523
2017-12-01;22392.5392913663
2018-01-01;20964.1555407614
2018-02-01;20222.3808499491
2018-03-01;19921.0934514097
2018-04-01;19280.3561550674
2018-05-01;19561.2778780755
2018-06-01;19125.3095094999
2018-07-01;18717.8624707652
2018-08-01;19091.3388248878
2018-09-01;18784.5018129927
2018-10-01;18291.873773074
2018-11-01;18725.013371955
2018-12-01;17949.8189453631
2019-01-01;18432.3740999503
2019-02-01;21191.8800301678
2019-03-01;21796.3719720575
2019-04-01;21471.2238057462
2019-05-01;21113.6114701835
2019-06-01;17284.6403626153
2019-07-01;16753.1573415754
2019-08-01;16719.7271637388
2019-09-01;16684.2145991766
2019-10-01;16873.1398437123
2019-11-01;17344.5679648668
2019-12-01;15501.04330871
2020-01-01;15162.7815258851
2020-02-01;14858.1734900391
2020-03-01;15433.5352476975
2020-04-01;15133.6423309719
2020-05-01;15435.8044855486
2020-06-01;15533.2710416381
2020-07-01;14983.0278012343
2020-08-01;15400.5205667674
2020-09-01;15495.8991515581
2020-10-01;15661.3310079258
2020-11-01;15895.7551842822
2020-12-01;16870.4759874889
2021-01-01;16427.0440049316
2021-02-01;15694.0868340128
2021-03-01;15194.2420585428
2021-04-01;15233.4164326376
2021-05-01;14930.2391702589
2021-06-01;15898.2050908358
2021-07-01;16599.6857596627
2021-08-01;16284.5826659444
2021-09-01;16187.0610335562
